"hatch";"unhatch";"totegg";"prop";"flume";"sub";"dry_time"
1217;36;1253;0.971268954509178;"c12";"s51";5
1546;47;1593;0.970495919648462;"c12";"s51";5
732;17;749;0.977303070761015;"c12";"s51";5
610;74;684;0.891812865497076;"c12";"s51";5
919;19;938;0.979744136460554;"c12";"s51";5
1044;110;1154;0.904679376083189;"c12";"s51";5
1148;46;1194;0.961474036850921;"c12";"s51";5
1078;9;1087;0.991720331186753;"c12";"s51";5
843;10;853;0.988276670574443;"c12";"s51";5
1236;30;1266;0.976303317535545;"c04";"s42";1
1104;25;1129;0.977856510186005;"c04";"s42";1
891;25;916;0.972707423580786;"c04";"s42";1
784;10;794;0.987405541561713;"c04";"s42";1
1718;46;1764;0.973922902494331;"c04";"s42";1
1253;10;1263;0.992082343626287;"c04";"s42";1
1195;106;1301;0.918524212144504;"c04";"s42";1
931;16;947;0.983104540654699;"c04";"s42";1
863;12;875;0.986285714285714;"c04";"s42";1
1621;58;1679;0.965455628350208;"c04";"s42";1
766;300;1066;0.718574108818011;"c28";"s39";3
838;17;855;0.980116959064327;"c28";"s39";3
1482;15;1497;0.98997995991984;"c28";"s39";3
1158;51;1209;0.957816377171216;"c28";"s39";3
710;230;940;0.75531914893617;"c28";"s39";3
488;606;1094;0.446069469835466;"c28";"s39";3
1494;12;1506;0.99203187250996;"c28";"s39";3
1485;26;1511;0.982792852415619;"c28";"s39";3
481;4;485;0.991752577319588;"c28";"s39";3
910;15;925;0.983783783783784;"c28";"s39";3
526;154;680;0.773529411764706;"c20";"s22";6
16;646;662;0.0241691842900302;"c20";"s22";6
1462;149;1611;0.907510862818125;"c20";"s22";6
525;351;876;0.599315068493151;"c20";"s22";6
1530;89;1619;0.945027794935145;"c20";"s22";6
1192;72;1264;0.943037974683544;"c20";"s22";6
539;379;918;0.587145969498911;"c20";"s22";6
559;305;864;0.646990740740741;"c20";"s22";6
1003;9;1012;0.991106719367589;"c20";"s22";6
1242;129;1371;0.905908096280088;"c20";"s22";6
1301;9;1310;0.993129770992366;"c15";"s47";2
957;68;1025;0.933658536585366;"c15";"s47";2
1143;35;1178;0.970288624787776;"c15";"s47";2
1695;23;1718;0.986612339930151;"c15";"s47";2
817;27;844;0.968009478672986;"c15";"s47";2
913;13;926;0.985961123110151;"c15";"s47";2
758;289;1047;0.723973256924546;"c15";"s47";2
1102;17;1119;0.984807864164433;"c15";"s47";2
1115;21;1136;0.981514084507042;"c15";"s47";2
1573;7;1580;0.995569620253165;"c15";"s47";2
777;7;784;0.991071428571429;"c16";"s53";2
964;14;978;0.985685071574642;"c16";"s53";2
1138;22;1160;0.981034482758621;"c16";"s53";2
875;2;877;0.997719498289624;"c16";"s53";2
971;119;1090;0.890825688073394;"c16";"s53";2
1300;6;1306;0.995405819295559;"c16";"s53";2
1332;8;1340;0.994029850746269;"c16";"s53";2
1655;47;1702;0.972385428907168;"c16";"s53";2
1437;30;1467;0.979550102249489;"c16";"s53";2
884;6;890;0.993258426966292;"c16";"s53";2
0;1442;1442;0;"c07";"s40";6
0;719;719;0;"c07";"s40";6
0;1413;1413;0;"c07";"s40";6
0;2014;2014;0;"c07";"s40";6
824;405;1229;0.67046379170057;"c07";"s40";6
960;17;977;0.982599795291709;"c07";"s40";6
1015;29;1044;0.972222222222222;"c07";"s40";6
1005;215;1220;0.823770491803279;"c07";"s40";6
1069;16;1085;0.985253456221198;"c24";"s20";3
1133;25;1158;0.978411053540587;"c24";"s20";3
1398;21;1419;0.985200845665962;"c24";"s20";3
481;3;484;0.993801652892562;"c24";"s20";3
767;17;784;0.978316326530612;"c24";"s20";3
513;341;854;0.600702576112412;"c24";"s20";3
1308;45;1353;0.966740576496674;"c24";"s20";3
922;17;939;0.981895633652822;"c24";"s20";3
1216;10;1226;0.99184339314845;"c24";"s20";3
895;8;903;0.991140642303433;"c24";"s20";3
405;15;420;0.964285714285714;"c06";"s49";0
1444;21;1465;0.985665529010239;"c06";"s49";0
508;4;512;0.9921875;"c06";"s49";0
596;5;601;0.991680532445923;"c06";"s49";0
848;28;876;0.968036529680365;"c06";"s49";0
1108;15;1123;0.986642920747996;"c06";"s49";0
1242;2;1244;0.998392282958199;"c06";"s49";0
1645;33;1678;0.980333730631704;"c06";"s49";0
1543;7;1550;0.995483870967742;"c06";"s49";0
974;7;981;0.992864424057085;"c06";"s49";0
830;6;836;0.992822966507177;"c14";"s46";4
693;6;699;0.991416309012876;"c14";"s46";4
1407;28;1435;0.980487804878049;"c14";"s46";4
915;166;1081;0.846438482886216;"c14";"s46";4
1075;8;1083;0.992613111726685;"c14";"s46";4
1436;15;1451;0.989662301860786;"c14";"s46";4
1533;53;1586;0.966582597730139;"c14";"s46";4
1203;4;1207;0.996685998342999;"c14";"s46";4
974;19;993;0.980866062437059;"c14";"s46";4
0;1075;1075;0;"c10";"s41";9
0;1386;1386;0;"c10";"s41";9
0;1191;1191;0;"c10";"s41";9
0;910;910;0;"c10";"s41";9
0;1121;1121;0;"c02";"s36";12
0;1448;1448;0;"c02";"s36";12
0;1199;1199;0;"c02";"s36";12
0;973;973;0;"c02";"s36";12
0;1013;1013;0;"c02";"s36";12
9;1112;1121;0.008028545941124;"c02";"s36";12
0;1294;1294;0;"c02";"s36";12
0;1558;1558;0;"c02";"s36";12
0;1351;1351;0;"c02";"s36";12
739;29;768;0.962239583333333;"c11";"s16";4
1318;13;1331;0.99023290758828;"c11";"s16";4
999;8;1007;0.992055610724926;"c11";"s16";4
647;10;657;0.984779299847793;"c11";"s16";4
532;13;545;0.976146788990826;"c11";"s16";4
1332;30;1362;0.977973568281938;"c11";"s16";4
884;19;903;0.978959025470653;"c11";"s16";4
1097;53;1150;0.953913043478261;"c11";"s16";4
946;20;966;0.979296066252588;"c11";"s16";4
733;6;739;0.991880920162382;"c11";"s16";4
0;1163;1163;0;"c30";"s45";12
0;1105;1105;0;"c30";"s45";12
0;1037;1037;0;"c30";"s45";12
0;971;971;0;"c30";"s45";12
0;1135;1135;0;"c30";"s45";12
0;1492;1492;0;"c30";"s45";12
0;845;845;0;"c30";"s45";12
0;1020;1020;0;"c30";"s45";12
1601;14;1615;0.991331269349845;"c01";"s14";0
1399;13;1412;0.990793201133145;"c01";"s14";0
1526;21;1547;0.986425339366516;"c01";"s14";0
1622;5;1627;0.996926859250154;"c01";"s14";0
1691;14;1705;0.991788856304985;"c01";"s14";0
1289;11;1300;0.991538461538462;"c01";"s14";0
991;5;996;0.994979919678715;"c01";"s14";0
1106;372;1478;0.748308525033829;"c01";"s14";0
1014;29;1043;0.972195589645254;"c01";"s14";0
1012;23;1035;0.977777777777778;"c01";"s14";0
1331;17;1348;0.987388724035608;"c09";"s52";1
581;5;586;0.991467576791809;"c09";"s52";1
679;47;726;0.935261707988981;"c09";"s52";1
1140;4;1144;0.996503496503496;"c09";"s52";1
719;6;725;0.991724137931035;"c09";"s52";1
1035;52;1087;0.952161913523459;"c09";"s52";1
1155;66;1221;0.945945945945946;"c09";"s52";1
936;97;1033;0.906098741529526;"c09";"s52";1
1146;6;1152;0.994791666666667;"c09";"s52";1
1432;25;1457;0.982841455044612;"c09";"s52";1
1514;12;1526;0.99213630406291;"c05";"s29";5
1068;35;1103;0.968268359020852;"c05";"s29";5
1132;14;1146;0.987783595113438;"c05";"s29";5
963;155;1118;0.861359570661896;"c05";"s29";5
918;166;1084;0.846863468634686;"c05";"s29";5
190;1012;1202;0.158069883527454;"c05";"s29";5
1091;388;1479;0.737660581473969;"c05";"s29";5
1195;77;1272;0.939465408805031;"c05";"s29";5
590;286;876;0.67351598173516;"c05";"s29";5
1302;73;1375;0.946909090909091;"c05";"s29";5
0;1317;1317;0;"c21";"s38";18
0;895;895;0;"c21";"s38";18
0;1231;1231;0;"c21";"s38";18
0;1310;1310;0;"c21";"s38";18
0;539;539;0;"c21";"s38";18
0;1183;1183;0;"c21";"s38";18
0;700;700;0;"c21";"s38";18
1206;52;1258;0.958664546899841;"c17";"s32";2
1203;8;1211;0.993393889347647;"c17";"s32";2
1183;187;1370;0.863503649635036;"c17";"s32";2
1088;2;1090;0.998165137614679;"c17";"s32";2
821;38;859;0.955762514551804;"c17";"s32";2
713;4;717;0.99442119944212;"c17";"s32";2
665;470;1135;0.585903083700441;"c17";"s32";2
1032;9;1041;0.99135446685879;"c17";"s32";2
811;9;820;0.989024390243902;"c17";"s32";2
1036;16;1052;0.984790874524715;"c17";"s32";2
1;1005;1006;0.00099403578528827;"c27";"s19";9
0;1483;1483;0;"c27";"s19";9
0;1335;1335;0;"c27";"s19";9
0;1135;1135;0;"c27";"s19";9
0;1700;1700;0;"c27";"s19";9
0;1457;1457;0;"c27";"s19";9
0;1148;1148;0;"c27";"s19";9
0;535;535;0;"c27";"s19";9
0;847;847;0;"c27";"s19";9
0;1629;1629;0;"c27";"s19";9
0;1007;1007;0;"c13";"s21";18
0;746;746;0;"c13";"s21";18
1;747;748;0.00133689839572193;"c13";"s21";18
0;1408;1408;0;"c13";"s21";18
0;1400;1400;0;"c25";"s35";18
0;959;959;0;"c25";"s35";18
0;630;630;0;"c25";"s35";18
0;867;867;0;"c25";"s35";18
0;1518;1518;0;"c25";"s35";18
0;1307;1307;0;"c25";"s35";18
140;1010;1150;0.121739130434783;"c25";"s35";18
754;28;782;0.964194373401535;"c29";"s33";4
1121;13;1134;0.988536155202822;"c29";"s33";4
1222;4;1226;0.99673735725938;"c29";"s33";4
1068;4;1072;0.996268656716418;"c29";"s33";4
1195;6;1201;0.995004163197336;"c29";"s33";4
841;14;855;0.983625730994152;"c29";"s33";4
959;23;982;0.976578411405295;"c29";"s33";4
756;3;759;0.99604743083004;"c29";"s33";4
652;14;666;0.978978978978979;"c29";"s33";4
1226;99;1325;0.925283018867925;"c29";"s33";4
579;39;618;0.936893203883495;"c18";"s13";0
1464;87;1551;0.943907156673114;"c18";"s13";0
1189;8;1197;0.993316624895572;"c18";"s13";0
892;85;977;0.912998976458547;"c18";"s13";0
1229;208;1437;0.855254001391788;"c18";"s13";0
997;21;1018;0.979371316306483;"c18";"s13";0
1129;56;1185;0.952742616033755;"c18";"s13";0
1412;12;1424;0.991573033707865;"c18";"s13";0
848;17;865;0.980346820809249;"c18";"s13";0
827;12;839;0.98569725864124;"c18";"s13";0
1266;40;1306;0.96937212863706;"c19";"s44";1
829;10;839;0.9880810488677;"c19";"s44";1
1242;10;1252;0.992012779552716;"c19";"s44";1
603;10;613;0.983686786296901;"c19";"s44";1
280;517;797;0.351317440401506;"c19";"s44";1
1048;19;1067;0.982193064667292;"c19";"s44";1
1375;22;1397;0.984251968503937;"c19";"s44";1
745;10;755;0.986754966887417;"c19";"s44";1
1123;16;1139;0.98595258999122;"c19";"s44";1
1591;13;1604;0.991895261845387;"c19";"s44";1
1453;191;1644;0.883819951338199;"c26";"s30";5
1443;30;1473;0.979633401221996;"c26";"s30";5
1822;15;1837;0.991834512792597;"c26";"s30";5
1071;16;1087;0.985280588776449;"c26";"s30";5
1432;16;1448;0.988950276243094;"c26";"s30";5
1427;9;1436;0.993732590529248;"c26";"s30";5
1008;22;1030;0.978640776699029;"c26";"s30";5
25;1303;1328;0.0188253012048193;"c26";"s30";5
1141;58;1199;0.95162635529608;"c26";"s30";5
